Source;Destinations(443011199, 443010655, 0);(443011199, 443010655, 0)|44.869
(247036680, 247036681, 0);(247036680, 247036681, 0)|56.129
(4944457312L, 4944457310L, 0);(4944457312L, 4944457310L, 0)|109.695
(443011210, 443011156, 0);(443011210, 443011156, 0)|34.624
(3971345418L, 1176877847, 0);(3971345418L, 1176877847, 0)|110.616
(443010607, 409744560, 0);(443010607, 409744560, 0)|182.25
(1584888095, 2077284431, 0);(1584888095, 2077284431, 0)|23.697
(416835262, 3128272359L, 0);(416835262, 3128272359L, 0)|123.309
(1584888111, 776385612, 0);(1584888111, 776385612, 0)|147.877
(1584888061, 416835292, 0);(1584888061, 416835292, 0)|32.806
(443010655, 443010676, 0);(443010655, 443010676, 0)|98.648
(776385431, 416835508, 0);(776385431, 416835508, 0)|6.8
(416828383, 416828384, 0);(416828383, 416828384, 0)|144.649
(2414810210L, 416828394, 0);(2414810210L, 416828394, 0)|150.965
(434153641, 1837296346, 0);(434153641, 1837296346, 0)|42.56
(443010629, 443010679, 0);(443010629, 443010679, 0)|145.14
(1135834322, 1135834064, 0);(1135834322, 1135834064, 0)|11.203
(376042110, 5532300128L, 0);(376042110, 5532300128L, 0)|25.565
(1135834113, 1135833549, 0);(1135834113, 1135833549, 0)|96.687
(1584882229, 3123414329L, 0);(1584882229, 3123414329L, 0)|19.124
(1120362093, 2704142899L, 0);(1120362093, 2704142899L, 0)|163.936
(1958655723, 1958655720, 0);(1958655723, 1958655720, 0)|31.944
(207720619, 1135833836, 0);(207720619, 1135833836, 0)|107.06
(3123452570L, 443010621, 0);(3123452570L, 443010621, 0)|22.373
(3124506067L, 295603581, 0);(3124506067L, 295603581, 0)|25.128
(416828369, 1584888122, 0);(416828369, 1584888122, 0)|9.71
(1584888059, 1584888145, 0);(1584888059, 1584888145, 0)|9.771
(5557745341L, 207720614, 0);(5557745341L, 207720614, 0)|11.949
(416835261, 416835629, 0);(416835261, 416835629, 0)|49.51
(443010658, 443010679, 0);(443010658, 443010679, 0)|22.074
(776385467, 776385497, 0);(776385467, 776385497, 0)|43.776
(1589959469, 3124506072L, 0);(1589959469, 3124506072L, 0)|130.334
(3124506057L, 1177083408, 0);(3124506057L, 1177083408, 0)|20.644
(3124506072L, 1589959469, 0);(3124506072L, 1589959469, 0)|130.334
(5532300127L, 5532300128L, 0);(5532300127L, 5532300128L, 0)|27.039
(443011205, 443011211, 0);(443011205, 443011211, 0)|16.6
(1120361975, 4236733937L, 0);(1120361975, 4236733937L, 0)|5.516
(416835286, 2414810226L, 0);(416835286, 2414810226L, 0)|14.96
(247124612, 1754945787, 0);(247124612, 1754945787, 0)|36.006
(980003099, 5557745353L, 0);(980003099, 5557745353L, 0)|48.823
(416835613, 416835600, 0);(416835613, 416835600, 0)|80.961
(2414810210L, 2414810211L, 0);(2414810210L, 2414810211L, 0)|63.792
(207720401, 416828384, 0);(207720401, 416828384, 0)|122.992
(443010612, 443011191, 0);(443010612, 443011191, 0)|96.348
(443010606, 443011202, 0);(443010606, 443011202, 0)|41.872
(443010617, 3123452563L, 0);(443010617, 3123452563L, 0)|20.169
(2414810226L, 416835286, 0);(2414810226L, 416835286, 0)|14.96
(443010611, 443010604, 0);(443010611, 443010604, 0)|116.376
(416835524, 416835516, 1);(416835524, 416835516, 1)|120.922
(1135833836, 207720619, 0);(1135833836, 207720619, 0)|107.06
(1837296346, 434153641, 0);(1837296346, 434153641, 0)|42.56
(776385447, 1584888095, 0);(776385447, 1584888095, 0)|22.873
