(207720615, 207721202, 0);(268440195, 268440181, 0)|7639.751
(434153641, 1837296346, 0);(268440195, 268440181, 0)|6905.262
(2077282475, 1584888122, 0);(268440195, 268440181, 0)|8508.118
(1556441308, 1708578279, 0);(268440195, 268440181, 0)|8360.927
(1556441308, 2422521543, 0);(268440195, 268440181, 0)|8169.203
(1754945787, 3124506056, 0);(268440195, 268440181, 0)|6697.364
(1754945787, 247125315, 0);(268440195, 268440181, 0)|6631.322
(381116668, 381116720, 0);(268440195, 268440181, 0)|6885.479
(381116668, 381116687, 0);(268440195, 268440181, 0)|6612.651
(1584888061, 443013027, 0);(268440195, 268440181, 0)|8285.176
(1584888061, 416835292, 0);(268440195, 268440181, 0)|8188.216
(1584888061, 776385431, 0);(268440195, 268440181, 0)|8499.991
(381116679, 381116668, 0);(268440195, 268440181, 0)|6633.46
(980003099, 5557745353, 0);(268440195, 268440181, 0)|7811.636
(1584888095, 776385447, 0);(268440195, 268440181, 0)|8416.294
(1584888095, 776385431, 0);(268440195, 268440181, 0)|8370.548
(1584888095, 2077284431, 0);(268440195, 268440181, 0)|8628.064
(1584888111, 776385472, 0);(268440195, 268440181, 0)|8587.212
(1584888111, 1584888112, 0);(268440195, 268440181, 0)|8517.32
(1584888111, 776385612, 0);(268440195, 268440181, 0)|8377.756
(381116720, 376042130, 0);(268440195, 268440181, 0)|6867.593
(381116720, 381116668, 0);(268440195, 268440181, 0)|6749.065
(1584888122, 416835508, 0);(268440195, 268440181, 0)|8463.844
(1584888145, 776385497, 0);(268440195, 268440181, 0)|8469.927
(1584888145, 776385467, 0);(268440195, 268440181, 0)|8479.763
(1584888145, 1584888059, 0);(268440195, 268440181, 0)|8433.075
(1135833429, 1135834226, 0);(268440195, 268440181, 0)|8208.381
(382400880, 1176965208, 0);(268440195, 268440181, 0)|6959.004
(382400880, 1176965208, 1);(268440195, 268440181, 0)|6923.251
(382400880, 489779228, 0);(268440195, 268440181, 0)|7253.2
(376797562, 376042110, 0);(268440195, 268440181, 0)|6699.745
(376797562, 376797575, 0);(268440195, 268440181, 0)|7106.268
(1135833549, 1135833873, 0);(268440195, 268440181, 0)|7798.415
(207719061, 1958655720, 0);(268440195, 268440181, 0)|8288.925
(250067446, 295604178, 0);(268440195, 268440181, 0)|6281.22
(250067446, 1181245124, 0);(268440195, 268440181, 0)|6890.07
(1827533334, 1772755919, 0);(268440195, 268440181, 0)|7912.192
(1135833631, 1135833429, 0);(268440195, 268440181, 0)|8235.068
(1584882211, 416835596, 0);(268440195, 268440181, 0)|8040.123
(1584882211, 980003855, 0);(268440195, 268440181, 0)|7948.991
(2704142899, 3552557981, 0);(268440195, 268440181, 0)|6916.485
(1584882229, 3123414329, 0);(268440195, 268440181, 0)|7767.049
(1584882229, 1584882230, 0);(268440195, 268440181, 0)|7968.685
(1584882229, 416835335, 0);(268440195, 268440181, 0)|7728.801
(1584882230, 416835473, 0);(268440195, 268440181, 0)|8164.217
(1584882230, 1584882229, 0);(268440195, 268440181, 0)|7848.743
(1584882230, 776385575, 0);(268440195, 268440181, 0)|8293.285
(2704142905, 2704123977, 0);(268440195, 268440181, 0)|6868.499
(2704142906, 247123624, 0);(268440195, 268440181, 0)|8163.845
(2704142906, 1556441308, 0);(268440195, 268440181, 0)|8189.116
(2704142910, 207721218, 0);(268440195, 268440181, 0)|6999.683
(207719022, 1958655723, 0);(268440195, 268440181, 0)|8465.618
(3123452540, 1177083389, 0);(268440195, 268440181, 0)|7108.624
(3123452541, 443011201, 0);(268440195, 268440181, 0)|7258.215
(3123452541, 443010679, 0);(268440195, 268440181, 0)|7252.802
(3123452541, 3123452543, 0);(268440195, 268440181, 0)|7219.412
(376042110, 5532300128, 0);(268440195, 268440181, 0)|6611.074
(376042110, 486151016, 0);(268440195, 268440181, 0)|7024.228
(376042110, 376797562, 0);(268440195, 268440181, 0)|6788.416
(3123452543, 443011201, 0);(268440195, 268440181, 0)|7214.11
(3123452543, 443010658, 0);(268440195, 268440181, 0)|7231.511
(3123452543, 3123452547, 0);(268440195, 268440181, 0)|7190.725
(3123452545, 443010609, 0);(268440195, 268440181, 0)|7060.708
(277830763, 4238478761, 0);(268440195, 268440181, 0)|6302.121
(247124612, 1754945787, 0);(268440195, 268440181, 0)|6667.328
(3123452549, 3123452553, 0);(268440195, 268440181, 0)|7718.956
(3123452549, 3123452551, 0);(268440195, 268440181, 0)|7624.983
(3123452551, 3123452549, 0);(268440195, 268440181, 0)|7742.826
(3123452552, 3123452553, 0);(268440195, 268440181, 0)|7819.794
(3123452553, 3123452552, 0);(268440195, 268440181, 0)|7685.938
(3123452553, 3123452550, 0);(268440195, 268440181, 0)|7779.837
